Score,Flips left,Heads,Tails,Action,Reward
 11,133, 0, 2, 0, -1
 11,103, 0, 0, 2,-30
 11,102, 1, 0, 0, -1
 11,101, 2, 0, 0, -1
 11,100, 3, 0, 0, -1
 12,115, 0, 0, 3, 15
 12,114, 0, 1, 0, -1
 12,113, 1, 1, 0, -1
 12,112, 1, 2, 0, -1
 12,111, 2, 2, 0, -1
 12,110, 3, 2, 0, -1
 12,109, 3, 3, 0, -1
 12,108, 4, 3, 0, -1
 12,107, 5, 3, 0, -1
 12,106, 6, 3, 0, -1
 12,105, 7, 3, 0, -1
 12,104, 8, 3, 0, -1
 13,119, 0, 0, 3, 15
 13,118, 1, 0, 0, -1
 13,117, 1, 1, 0, -1
 13,116, 2, 1, 0, -1
 13,115, 3, 1, 0, -1
 13,114, 4, 1, 0, -1
 13,113, 5, 1, 0, -1
 14,128, 0, 0, 3, 15
 14,127, 0, 1, 0, -1
 14,126, 1, 1, 0, -1
 14,125, 2, 1, 0, -1
 14,124, 3, 1, 0, -1
 14,123, 3, 2, 0, -1
 14,122, 4, 2, 0, -1
 14,121, 4, 3, 0, -1
 14,120, 5, 3, 0, -1
 14,119, 5, 4, 0, -1
 14,118, 5, 5, 0, -1
 15,133, 0, 0, 2, 15
 15,132, 1, 0, 0, -1
 15,131, 1, 1, 0, -1
 15,130, 1, 2, 0, -1
 15,129, 2, 2, 0, -1
 15,128, 2, 3, 0, -1
 15,127, 3, 3, 0, -1
 15,126, 3, 4, 0, -1
 16,141, 0, 0, 2, 15
 16,140, 1, 0, 0, -1
 16,139, 2, 0, 0, -1
 16,138, 3, 0, 0, -1
 16,108, 0, 0, 3,-30
 16,107, 0, 1, 0, -1
 16,106, 1, 1, 0, -1
 16,105, 1, 2, 0, -1
 16,104, 1, 3, 0, -1
 16, 74, 0, 0, 2,-30
 16, 73, 1, 0, 0, -1
 16, 72, 2, 0, 0, -1
 16, 71, 3, 0, 0, -1
 16, 41, 0, 0, 3,-30
 16, 40, 1, 0, 0, -1
 16, 39, 2, 0, 0, -1
 16, 38, 3, 0, 0, -1
 17, 53, 0, 0, 3, 15
 17, 52, 1, 0, 0, -1
 17, 51, 2, 0, 0, -1
 17, 50, 3, 0, 0, -1
 17, 20, 0, 0, 3,-30
 17, 19, 1, 0, 0, -1
 17, 18, 2, 0, 0, -1
 17, 17, 3, 0, 0, -1
 17, 13, 0, 0, 3, -4
  0, 99, 0, 1, 0, -1
  0, 98, 0, 2, 0, -1
  0,112, 0, 0, 2, 14
  1,113, 0, 0, 0,  1
  1,112, 0, 1, 0, -1
  1,111, 1, 1, 0, -1
  1,110, 2, 1, 0, -1
  1,109, 3, 1, 0, -1
  1,108, 3, 2, 0, -1
  1,107, 4, 2, 0, -1
  1,106, 4, 3, 0, -1
  1,105, 5, 3, 0, -1
  1,104, 5, 4, 0, -1
  1,103, 6, 4, 0, -1
  1,102, 6, 5, 0, -1
  1,101, 7, 5, 0, -1
  1,100, 7, 6, 0, -1
  1, 99, 8, 6, 0, -1
  1, 98, 9, 6, 0, -1
  1, 97, 9, 7, 0, -1
  1, 96,10, 7, 0, -1
  1, 95,11, 7, 0, -1
  1, 94,11, 8, 0, -1
  1, 93,12, 8, 0, -1
  1, 92,13, 8, 0, -1
  1, 91,13, 9, 0, -1
  1, 90,14, 9, 0, -1
  1, 89,15, 9, 0, -1
  1, 88,15,10, 0, -1
  1, 87,15,11, 0, -1
  1, 86,15,12, 0, -1
  1,100, 0, 0, 2, 14
  2,101, 0, 0, 0,  1
  2,100, 0, 1, 0, -1
  2, 99, 1, 1, 0, -1
  2, 98, 2, 1, 0, -1
  2, 97, 3, 1, 0, -1
  2, 96, 4, 1, 0, -1
  2, 95, 5, 1, 0, -1
  2, 65, 0, 0, 3,-30
  2, 65, 0, 0, 0,  0
  2, 64, 1, 0, 0, -1
  2, 63, 2, 0, 0, -1
  2, 62, 3, 0, 0, -1
  2, 76, 0, 0, 3, 14
  3, 77, 0, 0, 0,  1
  3, 76, 0, 1, 0, -1
  3, 75, 1, 1, 0, -1
  3, 74, 1, 2, 0, -1
  3, 73, 2, 2, 0, -1
  3, 72, 3, 2, 0, -1
  3, 71, 3, 3, 0, -1
  3, 70, 3, 4, 0, -1
  3, 40, 0, 0, 2,-30
  3, 39, 1, 0, 0, -1
  3, 38, 2, 0, 0, -1
  3, 37, 3, 0, 0, -1
  4, 52, 0, 0, 3, 15
