Score,Flips left,Heads,Tails,Action,Reward
 15,  5,16,10, 0, -1
 15,  4,16,11, 0, -1
 15,  3,17,11, 0, -1
 15,  2,18,11, 0, -1
 15,  1,18,12, 0, -1
 15,  0,18,13, 0, -1
 16, 15, 0, 0, 2, 15
 16, 14, 0, 1, 0, -1
 16, 13, 0, 2, 0, -1
 17, 28, 0, 0, 2, 15
 17, 27, 0, 1, 0, -1
 17, 26, 1, 1, 0, -1
 17, 25, 1, 2, 0, -1
 17, 24, 1, 3, 0, -1
 18, 39, 0, 0, 2, 15
 18, 38, 0, 1, 0, -1
 18, 37, 1, 1, 0, -1
 18, 36, 2, 1, 0, -1
 18, 35, 2, 2, 0, -1
 18, 34, 3, 2, 0, -1
 18, 33, 3, 3, 0, -1
 18, 32, 3, 4, 0, -1
 19, 47, 0, 0, 2, 15
 19, 46, 0, 1, 0, -1
 19, 45, 1, 1, 0, -1
 19, 44, 2, 1, 0, -1
 19, 43, 2, 2, 0, -1
 19, 42, 3, 2, 0, -1
 19, 41, 3, 3, 0, -1
 19, 40, 4, 3, 0, -1
 19, 39, 4, 4, 0, -1
 19, 38, 5, 4, 0, -1
 19, 37, 6, 4, 0, -1
 19, 36, 7, 4, 0, -1
 19, 35, 7, 5, 0, -1
 19, 34, 7, 6, 0, -1
 19, 33, 8, 6, 0, -1
 19, 32, 9, 6, 0, -1
 19, 31,10, 6, 0, -1
 19, 30,11, 6, 0, -1
 19, 29,12, 6, 0, -1
 19, 28,13, 6, 0, -1
 20, 43, 0, 0, 3, 15
 20, 42, 1, 0, 0, -1
 20, 41, 2, 0, 0, -1
 20, 40, 3, 0, 0, -1
 20, 39, 3, 1, 0, -1
 20, 38, 4, 1, 0, -1
 20, 37, 5, 1, 0, -1
 20,  7, 0, 0, 3,-30
 20,  6, 1, 0, 0, -1
 20,  5, 1, 1, 0, -1
 20,  4, 2, 1, 0, -1
 20,  3, 2, 2, 0, -1
 20,  2, 2, 3, 0, -1
 20,  1, 2, 4, 0, -1
 21, 16, 0, 0, 2, 15
 21, 15, 1, 0, 0, -1
 21, 14, 2, 0, 0, -1
 21, 13, 2, 1, 0, -1
 21, 12, 2, 2, 0, -1
 21, 11, 2, 3, 0, -1
 21, 10, 3, 3, 0, -1
 21,  9, 4, 3, 0, -1
 21,  8, 5, 3, 0, -1
 21,  7, 5, 4, 0, -1
 21,  6, 6, 4, 0, -1
 21,  5, 7, 4, 0, -1
 21,  4, 7, 5, 0, -1
 21,  3, 8, 5, 0, -1
 21,  2, 8, 6, 0, -1
 21,  1, 9, 6, 0, -1
 21,  0,10, 6, 0, -1
 22, 15, 0, 0, 3, 15
 22, 14, 1, 0, 0, -1
 22, 13, 2, 0, 0, -1
 22, 12, 3, 0, 0, -1
 22, 11, 4, 0, 0, -1
 23, 26, 0, 0, 3, 15
 23, 25, 0, 1, 0, -1
 23, 24, 1, 1, 0, -1
 23, 23, 2, 1, 0, -1
 23, 22, 3, 1, 0, -1
 23, 21, 4, 1, 0, -1
 23, 20, 5, 1, 0, -1
 23,-10, 0, 0, 3,-30
  0, 95, 4, 1, 1, -5
  0, 94, 4, 2, 0, -1
  0, 93, 5, 2, 0, -1
  0, 92, 5, 3, 0, -1
  0, 91, 6, 3, 0, -1
  0, 90, 7, 3, 0, -1
  0, 89, 8, 3, 0, -1
  0, 88, 9, 3, 0, -1
  1,103, 0, 0, 3, 15
  1, 98, 3, 2, 1, -5
  1, 97, 4, 2, 0, -1
  1, 96, 5, 2, 0, -1
  1, 95, 6, 2, 0, -1
  1, 94, 7, 2, 0, -1
  2,109, 0, 0, 3, 15
  2,104, 2, 3, 1, -5
  2,103, 2, 4, 0, -1
  3,118, 0, 0, 2, 15
  3,113, 4, 1, 1, -5
  3,112, 5, 1, 0, -1
  3, 82, 0, 0, 3,-30
  3, 77, 4, 1, 1, -5
  3, 76, 5, 1, 0, -1
  4, 91, 0, 0, 3, 15
  4, 86, 2, 3, 1, -5
  4, 85, 2, 4, 0, -1
  5,100, 0, 0, 2, 15
  5, 95, 3, 2, 1, -5
  5, 94, 4, 2, 0, -1
  5, 93, 4, 3, 0, -1
  5, 92, 5, 3, 0, -1
  5, 91, 5, 4, 0, -1
  5, 90, 6, 4, 0, -1
  5, 89, 6, 5, 0, -1
  5, 88, 6, 6, 0, -1
  5, 58, 0, 0, 2,-30
  5, 53, 5, 0, 1, -5
  6, 68, 0, 0, 3, 15
  6, 63, 4, 1, 1, -5
  6, 62, 5, 1, 0, -1
  7, 77, 0, 0, 3, 15
  7, 72, 3, 2, 1, -5
  7, 71, 4, 2, 0, -1
  7, 70, 4, 3, 0, -1
  7, 69, 4, 4, 0, -1
  7, 68, 4, 5, 0, -1
  8, 83, 0, 0, 2, 15
  8, 78, 2, 3, 1, -5
  8, 77, 3, 3, 0, -1
  8, 76, 3, 4, 0, -1
  8, 46, 0, 0, 2,-30
  8, 45, 0, 1, 0, -1
  8, 44, 0, 2, 0, -1
  9, 59, 0, 0, 2, 15
  9, 54, 3, 2, 1, -5
  9, 53, 4, 2, 0, -1
  9, 52, 5, 2, 0, -1
  9, 51, 5, 3, 0, -1
  9, 50, 5, 4, 0, -1
  9, 49, 6, 4, 0, -1
  9, 48, 6, 5, 0, -1
  9, 47, 7, 5, 0, -1
  9, 46, 7, 6, 0, -1
  9, 45, 7, 7, 0, -1
 10, 60, 0, 0, 2, 15
 10, 55, 3, 2, 1, -5
 10, 54, 4, 2, 0, -1
 10, 53, 4, 3, 0, -1
 10, 52, 5, 3, 0, -1
 10, 51, 5, 4, 0, -1
 10, 50, 5, 5, 0, -1
 10, 49, 6, 5, 0, -1
 10, 48, 6, 6, 0, -1
 11, 63, 0, 0, 2, 15
 11, 58, 2, 3, 1, -5
 11, 57, 2, 4, 0, -1
 12, 72, 0, 0, 2, 15
 12, 67, 5, 0, 1, -5
 12, 37, 0, 0, 3,-30
 12, 36, 1, 0, 0, -1
 12, 35, 2, 0, 0, -1
 12, 34, 3, 0, 0, -1
 12, 33, 4, 0, 0, -1
 13, 48, 0, 0, 3, 15
 13, 47, 1, 0, 0, -1
 13, 46, 2, 0, 0, -1
 13, 45, 3, 0, 0, -1
 13, 44, 4, 0, 0, -1
 14, 59, 0, 0, 3, 15
 14, 54, 4, 1, 1, -5
 14, 53, 5, 1, 0, -1
 14, 23, 0, 0, 3,-30
 14, 22, 0, 1, 0, -1
 14, 21, 0, 2, 0, -1
 15, 36, 0, 0, 2, 15
 15, 35, 1, 0, 0, -1
 15, 34, 2, 0, 0, -1
 15, 33, 3, 0, 0, -1
 15, 32, 4, 0, 0, -1
 16, 47, 0, 0, 3, 15
 16, 46, 0, 1, 0, -1
 16, 45, 1, 1, 0, -1
 16, 44, 2, 1, 0, -1
 16, 43, 3, 1, 0, -1
 16, 42, 4, 1, 0, -1
 16, 41, 5, 1, 0, -1
 17, 56, 0, 0, 3, 15
 17, 51, 1, 4, 1, -5
 18, 66, 0, 0, 2, 15
 18, 61, 2, 3, 1, -5
 18, 60, 3, 3, 0, -1
 18, 59, 4, 3, 0, -1
 18, 58, 4, 4, 0, -1
 18, 57, 5, 4, 0, -1
 18, 56, 6, 4, 0, -1
 18, 55, 7, 4, 0, -1
 18, 54, 8, 4, 0, -1
 18, 53, 8, 5, 0, -1
 18, 52, 8, 6, 0, -1
 18, 51, 8, 7, 0, -1
 19, 66, 0, 0, 2, 15
 19, 61, 2, 3, 1, -5
 19, 60, 2, 4, 0, -1
 20, 75, 0, 0, 2, 15
 20, 70, 5, 0, 1, -5
 21, 85, 0, 0, 3, 15
 21, 80, 2, 3, 1, -5
 21, 79, 3, 3, 0, -1
 21, 78, 3, 4, 0, -1
 22, 93, 0, 0, 2, 15
 22, 88, 2, 3, 1, -5
 22, 87, 3, 3, 0, -1
 22, 86, 3, 4, 0, -1
 22, 56, 0, 0, 2,-30
 22, 51, 4, 1, 1, -5
 22, 50, 5, 1, 0, -1
 23, 65, 0, 0, 3, 15
